[名前]	[分類]	[格納フォルダ]	[略語]	[英語]	[日本語]	[読み方]	[類語]	[説明]
7セグメント表示器	jp/数字	7	-	7-segment display	7セグメント表示器	ななセグメントひょうじき	LEDセグメント表示器	数字や一部の文字を表示するために使用されるデジタル表示デバイス。7つの独立したセグメントが数字や一部の文字を形成する。
AGI	jp/英語アルファベット	A	-	Artificial General Intelligence	人工汎用知能	じんこうはんようちのう	-	人間の知能と同等の汎用的な知能を持つ人工知能。
AGV	jp/英語アルファベット	A	-	Automated Guided Vehicle	無人搬送車	むじんはんそうしゃ	-	自動で物品を搬送する車両。
AI	jp/英語アルファベット	A	-	Artificial Intelligence	人工知能	じんこうちのう	-	機械が人間の知能のような働きをする技術。
AR	jp/英語アルファベット	A	-	Augmented Reality	拡張現実	かくちょうげんじつ	-	現実の環境に仮想の情報を重ね合わせる技術。
BLE	jp/英語アルファベット	B	-	Bluetooth Low Energy	低消費電力Bluetooth	ていしょうひでんりょくBluetooth	-	省エネルギーで短距離通信を行うBluetooth技術。
CAD	jp/英語アルファベット	C	-	Computer-Aided Design	コンピュータ支援設計	コンピュータしえんせっけい	-	コンピュータを使用して設計や製図を行う技術。
CAM	jp/英語アルファベット	C	-	Computer-Aided Manufacturing	コンピュータ支援製造	コンピュータしえんせいぞう	-	コンピュータを使用して製造プロセスを管理する技術。
CAN	jp/英語アルファベット	C	-	Controller Area Network	コントローラエリアネットワーク	コントローラエリアネットワーク	-	車両などのシステム内で制御データを通信するネットワーク規格。
CC-Link	jp/英語アルファベット	C	-	Control & Communication Link	シーシーリンク	シーシーリンク	-	工業用ネットワークの一種で、FA機器の相互接続に使用される。
column	jp/英語アルファベット	C	-	Column	列	れつ	行	データベースや表計算ソフトにおける縦方向の項目。
COMポート	jp/英語アルファベット	C	-	COM Port	COMポート	COMポート	-	シリアル通信を行うための通信ポート。
DDL	jp/英語アルファベット	D	-	Data Definition Language	データ定義言語	データていぎげんご	-	データベースの構造を定義するための言語。
EtherNet	jp/英語アルファベット	E	-	Ethernet	イーサネット	イーサネット	-	コンピュータネットワークの一種で、有線通信を行う規格。
